form,lemma,POS,morph
qui,qui1,PROrel,Case=Nom|Numb=Plur|Gend=Masc
nondum,nondum,ADVneg,MORPH=empty
satiatus,satio2,VER,Case=Nom|Numb=Sing|Gend=Masc|Mood=Par|Tense=Perf|Voice=Pass
erat,sum1,VER,Numb=Sing|Mood=Ind|Tense=Impa|Voice=Act|Person=3
furor,furor1,NOMcom,Case=Nom|Numb=Sing
intus,intus1,ADV,Deg=Pos
et,et2,CONcoo,MORPH=empty
ira,ira,NOMcom,Case=Abl|Numb=Sing
saevibant,saeuio,VER,Numb=Plur|Mood=Ind|Tense=Impa|Voice=Act|Person=3
pariter,pariter,ADV,Deg=Pos
quod,quod2,CONsub,MORPH=empty
fortia,fortis,ADJqua,Case=Acc|Numb=Plur|Gend=Neut|Deg=Pos
pectora,pectus,NOMcom,Case=Acc|Numb=Plur
fratrum,frater,NOMcom,Case=Gen|Numb=Plur
viderat,uideo,VER,Numb=Sing|Mood=Ind|Tense=Pqp|Voice=Act|Person=3
inpavide,impauide,ADJqua,Deg=Pos
regis,rex,NOMcom,Case=Gen|Numb=Sing
superasse,supero,VER,Mood=Inf|Tense=Perf|Voice=Act
furorem,furor1,NOMcom,Case=Acc|Numb=Sing
constitit,consisto,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
ante,ante2,PRE,MORPH=empty
pedes,pes,NOMcom,Case=Acc|Numb=Plur
iuvenis,iuuenis1,NOMcom,Case=Nom|Numb=Sing|Gend=MascFem
florentibus,florens,ADJqua,Case=Abl|Numb=Plur|Gend=Com|Deg=Pos
annis,annus,NOMcom,Case=Abl|Numb=Plur
egregius,egregius,ADJqua,Case=Nom|Numb=Sing|Gend=Masc|Deg=Pos
forma,forma,NOMcom,Case=Abl|Numb=Sing
dignus,dignus,ADJqua,Case=Nom|Numb=Sing|Gend=Masc|Deg=Pos
qui,qui1,PROrel,Case=Nom|Numb=Sing|Gend=Masc
regna,regnum,NOMcom,Case=Acc|Numb=Plur
teneret,teneo,VER,Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=3
120,3,ADJcar,MORPH=empty
dignior,dignus,ADJqua,Case=Nom|Numb=Sing|Gend=MascFem|Deg=Comp
Antiocho,Antiochus,NOMpro,Case=Abl|Numb=Sing
et,et2,CONcoo,MORPH=empty
sic,sic,ADV,Deg=Pos
meliora,bonus,ADJqua,Case=Acc|Numb=Plur|Gend=Neut|Deg=Comp
secutus,sequor,VER,Case=Nom|Numb=Sing|Gend=Masc|Mood=Par|Tense=Perf|Voice=Dep
regna,regnum,NOMcom,Case=Acc|Numb=Plur
volente,uolens,VER,Case=Abl|Numb=Sing|Gend=Com|Mood=Par|Tense=Pres|Voice=Act
deo,deus,NOMcom,Case=Abl|Numb=Sing
mater,mater,NOMcom,Case=Nom|Numb=Sing
cui,qui1,PROrel,Case=Dat|Numb=Sing|Gend=Com
talia,talis,PROdem,Case=Acc|Numb=Plur|Gend=Neut
fatur,for,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Dep|Person=3
”,”,PUNC,MORPH=empty
Accipe,accipio,VER,Numb=Sing|Mood=Imp|Tense=Pres|Voice=Act|Person=2
nate,natus1,NOMcom,Case=Voc|Numb=Sing
tuae,tuus,PROpos,Case=Gen|Numb=Sing|Gend=Fem
securus,securus,ADJqua,Case=Nom|Numb=Sing|Gend=Masc|Deg=Pos
dicta,dictum,NOMcom,Case=Acc|Numb=Plur
parentis,parens1,NOMcom,Case=Gen|Numb=Sing
accipe,accipio,VER,Numb=Sing|Mood=Imp|Tense=Pres|Voice=Act|Person=2
ne,ne4,CONsub,MORPH=empty
segnis,segnis,ADJqua,Case=Acc|Numb=Plur|Gend=MascFem|Deg=Pos
perdas,perdo,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=2
virtutis,uirtus,NOMcom,Case=Gen|Numb=Sing
honores,honor,NOMcom,Case=Acc|Numb=Plur
sunt,sum1,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
tibi,tu,PROper,Case=Dat|Numb=Sing
iam,iam,ADV,Deg=Pos
fratres,frater,NOMcom,Case=Voc|Numb=Plur
pietatis,pietas,NOMcom,Case=Gen|Numb=Sing
sede,sedes,NOMcom,Case=Abl|Numb=Sing
manentes,maneo,VER,Case=Nom|Numb=Plur|Gend=MascFem|Mood=Par|Tense=Pres|Voice=Act
125,3,ADJcar,MORPH=empty
iam,iam,ADV,Deg=Pos
meliore,bonus,ADJqua,Case=Abl|Numb=Sing|Gend=Com|Deg=Comp
loco,locus,NOMcom,Case=Abl|Numb=Sing
quam,quam1,ADVrel,MORPH=empty
regna,regnum,NOMcom,Case=Acc|Numb=Plur
labentia,labor2,VER,Case=Nom|Numb=Plur|Gend=Neut|Mood=Par|Tense=Pres|Voice=Dep
regis,rego,NOMcom,Case=Gen|Numb=Sing|Person=2
quorum,qui1,PROrel,Case=Gen|Numb=Plur|Gend=MascNeut
si,si2,CONsub,MORPH=empty
proprios,proprius,ADJqua,Case=Acc|Numb=Plur|Gend=Masc|Deg=Pos
attingis,attingo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=2
pectore,pectus,NOMcom,Case=Abl|Numb=Sing
sensus,sensus,NOMcom,Case=Acc|Numb=Plur
victor,uictor,NOMcom,Case=Nom|Numb=Sing
apud,apud,PRE,MORPH=empty
populos,populus1,NOMcom,Case=Acc|Numb=Plur
regem,rex,NOMcom,Case=Acc|Numb=Sing
superasse,supero,VER,Mood=Inf|Tense=Perf|Voice=Act
fereris,fero,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=2
sicut,sicut1,ADVrel,MORPH=empty
fama,fama,NOMcom,Case=Nom|Numb=Sing
tuos,tuus,PROpos,Case=Acc|Numb=Plur|Gend=Masc
iam,iam,ADV,Deg=Pos
misit,mitto,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
in,in,PRE,MORPH=empty
omnia,omnis,PROind,Case=Acc|Numb=Plur|Gend=Neut
fratres,frater,NOMcom,Case=Acc|Numb=Plur
his,hic1,PROdem,Case=Dat|Numb=Plur|Gend=Com
accede,accedo1,VER,Numb=Sing|Mood=Imp|Tense=Pres|Voice=Act|Person=2
precor,precor,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Dep|Person=1
sunt,sum1,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
haec,hic1,PROdem,Case=Nom|Numb=Plur|Gend=Neut
aptissima,aptus,ADJqua,Case=Nom|Numb=Plur|Gend=Neut|Deg=Sup
dona,donum,NOMcom,Case=Nom|Numb=Plur
130,3,ADJcar,MORPH=empty
contempsisse,contemno,VER,Mood=Inf|Tense=Perf|Voice=Act
nefas,nefas,NOMcom,Case=Ind
et,et2,CONcoo,MORPH=empty
iura,ius1,NOMcom,Case=Acc|Numb=Plur
relinquere,relinquo,VER,Mood=Inf|Tense=Pres|Voice=Act
regis,rex,NOMcom,Case=Gen|Numb=Sing
indomiti,indomitus,ADJqua,Case=Gen|Numb=Sing|Gend=MascNeut|Deg=Pos
quem,qui1,PROrel,Case=Acc|Numb=Sing|Gend=Masc
nulla,nullus,PROind,Case=Nom|Numb=Sing|Gend=Fem
manet,maneo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
post,post2,PRE,MORPH=empty
ista,iste,PROdem,Case=Nom|Numb=Sing|Gend=Fem
voluptas,uoluptas,NOMcom,Case=Nom|Numb=Sing
”,”,PUNC,MORPH=empty
at,at2,CONcoo,MORPH=empty
iuvenis,iuuenis1,NOMcom,Case=Nom|Numb=Sing
tacito,tacitus,ADJqua,Case=Abl|Numb=Sing|Gend=MascNeut|Deg=Pos
mittebat,mitto,VER,Numb=Sing|Mood=Ind|Tense=Impa|Voice=Act|Person=3
murmure,murmur,NOMcom,Case=Abl|Numb=Sing
voces,uox,NOMcom,Case=Acc|Numb=Plur
oranti,oro,VER,Case=Dat|Numb=Sing|Gend=Com|Mood=Par|Tense=Pres|Voice=Act
similis,similis,ADJqua,Case=Nom|Numb=Sing|Gend=MascFem|Deg=Pos
palmas,palma,NOMcom,Case=Acc|Numb=Plur
tendebat,tendo,VER,Numb=Sing|Mood=Ind|Tense=Impa|Voice=Act|Person=3
in,in,PRE,MORPH=empty
altum,altum,NOMcom,Case=Acc|Numb=Sing
subnixoque,subnixus,ADJqua,Case=Abl|Numb=Sing|Gend=MascNeut|Deg=Pos
{subnixoque},que,CON,MORPH=empty
genu,genu,NOMcom,Case=Abl|Numb=Sing
matris,mater,NOMcom,Case=Gen|Numb=Sing
pendebat,pendeo,VER,Numb=Sing|Mood=Ind|Tense=Impa|Voice=Act|Person=3
in,in,PRE,MORPH=empty
ore,os1,NOMcom,Case=Abl|Numb=Sing
135,3,ADJcar,MORPH=empty
qua,qua1,ADVrel,MORPH=empty
licet,licet1,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act
aspectu,aspectus,NOMcom,Case=Abl|Numb=Sing
corpus,corpus,NOMcom,Case=Acc|Numb=Sing
cui,qui1,PROrel,Case=Dat|Numb=Sing|Gend=Com
turba,turba,NOMcom,Case=Nom|Numb=Sing
premebat,premo,VER,Numb=Sing|Mood=Ind|Tense=Impa|Voice=Act|Person=3
qui,qui1,PROrel,Case=Nom|Numb=Sing|Gend=Masc
simul,simul3,CONsub,Deg=Pos
admonitus,admoneo,VER,Case=Nom|Numb=Sing|Gend=Masc|Mood=Par|Tense=Perf|Voice=Pass
cratem,crates,NOMcom,Case=Acc|Numb=Sing
conscendit,conscendo,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
in,in,PRE,MORPH=empty
igne,ignis,NOMcom,Case=Abl|Numb=Sing
intrepidus,intrepidus,ADJqua,Case=Nom|Numb=Sing|Gend=Masc|Deg=Pos
certaque,certus,ADJqua,Case=Abl|Numb=Sing|Gend=Fem|Deg=Pos
{certaque},que,CON,MORPH=empty
fide,fides2,NOMcom,Case=Abl|Numb=Sing
sua,suus,PROpos.ref,Case=Acc|Numb=Plur|Gend=Neut
membra,membrum,NOMcom,Case=Acc|Numb=Plur
locavit,loco,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
conciderunt,concido1,VER,Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=3
flammae,flamma,NOMcom,Case=Nom|Numb=Plur
tepida,tepidus,ADJqua,Case=Abl|Numb=Sing|Gend=Fem|Deg=Pos
remanente,remaneo,VER,Case=Abl|Numb=Sing|Gend=Com|Mood=Par|Tense=Pres|Voice=Act
favilla,fauilla,NOMcom,Case=Abl|Numb=Sing
corpusque,corpus,NOMcom,Case=Nom|Numb=Sing
{corpusque},que,CON,MORPH=empty
inlaesum,illaesus,ADJqua,Case=Acc|Numb=Sing|Gend=Neut|Deg=Pos
tellus,tellus,NOMcom,Case=Nom|Numb=Sing
adaperta,adaperio,VER,Case=Nom|Numb=Sing|Gend=Fem|Mood=Par|Tense=Perf|Voice=Pass
recepit,recipio,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
140,3,ADJcar,MORPH=empty
sancta,sanctus,ADJqua,Case=Nom|Numb=Plur|Gend=Fem|Deg=Pos
quoque,quoque,ADV,Deg=Pos
ad,ad2,PRE,MORPH=empty
superos,superi,NOMcom,Case=Acc|Numb=Plur
anima,anima,NOMcom,Case=Nom|Numb=Sing
inviolata,inuiolatus,ADJqua,Case=Nom|Numb=Sing|Gend=Fem|Deg=Pos
recessit,recedo1,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
At,at2,CONcoo,MORPH=empty
mater,mater,NOMcom,Case=Nom|Numb=Sing
dubitans,dubito,VER,Case=Nom|Numb=Sing|Gend=Com|Mood=Par|Tense=Pres|Voice=Act
gemitus,gemitus,NOMcom,Case=Acc|Numb=Plur
an,an,ADVint,MORPH=empty
gaudia,gaudium,NOMcom,Case=Acc|Numb=Plur
sumat,sumo,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
haesitat,haesito,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
et,et2,CONcoo,MORPH=empty
querulo,querulus,ADJqua,Case=Abl|Numb=Sing|Gend=MascNeut|Deg=Pos
sic,sic,ADV,Deg=Pos
est,sum1,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
sermone,sermo,NOMcom,Case=Abl|Numb=Sing
locuta,loquor,VER,Case=Nom|Numb=Sing|Gend=Fem|Mood=Par|Tense=Perf|Voice=Dep
”,”,PUNC,MORPH=empty
Quid,quis1,PROint,Case=Acc|Numb=Sing|Gend=Neut
nunc,nunc,ADV,Deg=Pos
dire,dire,VER,Deg=Pos
paras,paro2,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=2
iussis,iussum,NOMcom,Case=Dat|Numb=Plur|Gend=Com
parebimus,pareo,VER,Numb=Plur|Mood=Ind|Tense=Fut|Voice=Act|Person=1
omnes,omnis,PROind,Case=Acc|Numb=Plur|Gend=MascFem
sed,sed,CONcoo,MORPH=empty
numera,numero1,VER,Numb=Sing|Mood=Imp|Tense=Pres|Voice=Act|Person=2
partus,partus1,NOMcom,Case=Acc|Numb=Sing|Gend=Masc
custos,custos,NOMcom,Case=Nom|Numb=Sing
ne,ne3,ADVneg,MORPH=empty
subtrahat,subtraho,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
ullum,ullus,PROind,Case=Acc|Numb=Sing|Gend=MascNeut
145,3,ADJcar,MORPH=empty
ac,ac1,CONcoo,MORPH=empty
licet,licet3,CONsub,MORPH=empty
ipse,ipse,PROdem,Case=Nom|Numb=Sing|Gend=Masc
velis,uolo3,NOMcom,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=2
non,non,ADVneg,MORPH=empty
sum,sum1,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=1
passura,patior,VER,Case=Nom|Numb=Sing|Gend=Fem|Mood=Par|Tense=Fut|Voice=Dep
tyranne,tyrannus,NOMcom,Case=Voc|Numb=Sing
ut,ut4,CONsub,MORPH=empty
non,non,ADVneg,MORPH=empty
isto,iste,PROdem,Case=Abl|Numb=Sing|Gend=MascNeut
omnes,omnis,PROind,Case=Nom|Numb=Plur|Gend=MascFem
pereant,pereo1,VER,Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=3
certamine,certamen,NOMcom,Case=Abl|Numb=Sing
nati,natus1,NOMcom,Case=Gen|Numb=Sing|Gend=MascNeut
temporis,tempus1,NOMcom,Case=Gen|Numb=Sing
ista,iste,PROdem,Case=Nom|Numb=Sing|Gend=Fem
tui,tuus,PROpos,Case=Gen|Numb=Sing|Gend=MascNeut
mutes,muto2,VER,Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act
licet,licet3,CONsub,MORPH=empty
horrida,horridus,ADJqua,Case=Nom|Numb=Sing|Gend=Fem|Deg=Pos
poena,poena,NOMcom,Case=Nom|Numb=Sing
est,sum1,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
duraque,durus,ADJqua,Case=Nom|Numb=Sing|Gend=Fem|Deg=Pos
{duraque},que,CON,MORPH=empty
damnatis,damno,VER,Case=Dat|Numb=Plur|Gend=Com|Mood=Par|Tense=Perf|Voice=Pass
eadem,idem,PROdem,Case=Nom|Numb=Sing|Gend=Fem
sententia,sententia,NOMcom,Case=Nom|Numb=Sing
natis,natus1,NOMcom,Case=Dat|Numb=Plur
si,si2,CONsub,MORPH=empty
graviora,grauis,ADJqua,Case=Acc|Numb=Plur|Gend=Neut|Deg=Comp
putas,puto,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=2
si,si2,CONsub,MORPH=empty
sunt,sum1,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
graviora,grauis,ADJqua,Case=Nom|Numb=Plur|Gend=Neut|Deg=Comp
minare,minor,VER,Mood=Imp|Tense=Pres|Voice=Dep
150,3,ADJcar,MORPH=empty
quodque,qui,CONsub,Case=Acc|Numb=Sing
{quodque},que,CON,MORPH=empty
meos,meus,PROpos,Case=Acc|Numb=Plur|Gend=Masc
cernis,cerno,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=2
vultus,uultus,NOMcom,Case=Acc|Numb=Plur
horrore,horror,NOMcom,Case=Abl|Numb=Sing
teneris,tener,ADJqua,Case=Dat|Numb=Plur|Gend=Com|Deg=Pos
gaudemus,gaudeo,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=SemDep|Person=1
pariter,pariter,ADV,Deg=Pos
quotiens,quotiens1,ADVrel,MORPH=empty
decernis,decerno,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=2
in,in,PRE,MORPH=empty
istos,iste,PROdem,Case=Acc|Numb=Plur|Gend=Masc
”,”,PUNC,MORPH=empty
Ardet,ardeo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
at,at2,CONcoo,MORPH=empty
ipse,ipse,PROdem,Case=Nom|Numb=Sing|Gend=Masc
magis,magis2,ADV,Deg=Comp
rabida,rabidus,ADJqua,Case=Abl|Numb=Sing|Gend=Fem|Deg=Pos
rex,rex,NOMcom,Case=Nom|Numb=Sing
concitus,concieo,VER,Case=Nom|Numb=Sing|Gend=Masc|Mood=Par|Tense=Perf|Voice=Pass
ira,ira,NOMcom,Case=Abl|Numb=Sing
temptarique,tento,VER,Mood=Inf|Tense=Pres|Voice=Pass
{temptarique},que,CON,MORPH=empty
putat,puto,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
ne,ne4,CONsub,MORPH=empty
sic,sic,ADV,Deg=Pos
et,et2,CONcoo,Deg=Pos
cetera,ceterus,ADJqua,Case=Acc|Numb=Sing|Gend=Fem|Deg=Pos
fratrum,frater,NOMcom,Case=Gen|Numb=Plur
turba,turba,NOMcom,Case=Nom|Numb=Sing
ferat,fero,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
poenas,poena,NOMcom,Case=Acc|Numb=Plur
matremque,mater,NOMcom,Case=Acc|Numb=Sing
{matremque},que,CON,MORPH=empty
hoc,hic1,PROdem,Case=Acc|Numb=Sing|Gend=Neut
quaerere,quaero,VER,Mood=Inf|Tense=Pres|Voice=Act
sentit,sentio,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
155,3,ADJcar,MORPH=empty
durat,duro,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
in,in,PRE,MORPH=empty
exitium,exitium,NOMcom,Case=Acc|Numb=Sing
quartumque,quartus,ADJord,Case=Acc|Numb=Sing|Gend=MascNeut|Deg=Pos
{quartumque},que,CON,MORPH=empty
addicere,addico2,VER,Mood=Inf|Tense=Pres|Voice=Act
natum,natus1,NOMcom,Case=Acc|Numb=Sing
poenae,poena,NOMcom,Case=Gen|Numb=Sing
mox,mox,ADV,Deg=Pos
voluit,uolo3,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
lassati,lasso,VER,Case=Gen|Numb=Plur|Gend=Masc|Mood=Par|Tense=Perf|Voice=Pass
iamque,iam,ADV,Deg=Pos
{iamque},que,CON,MORPH=empty
ministri,minister1,NOMcom,Case=Nom|Numb=Plur
nec,nec2,CONcoo,MORPH=empty
regis,rex,NOMcom,Case=Gen|Numb=Sing
furias,furia,NOMcom,Case=Acc|Numb=Plur
nec,nec2,CONcoo,MORPH=empty
regem,rex,NOMcom,Case=Acc|Numb=Sing
ferre,fero,VER,Mood=Inf|Tense=Pres|Voice=Act
valebant,ualeo,VER,Numb=Plur|Mood=Ind|Tense=Impa|Voice=Act|Person=3
pro,pro1,PRE,MORPH=empty
pudor,pudor,NOMcom,Case=Nom|Numb=Sing
erubuit,erubesco,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
vultus,uultus,NOMcom,Case=Acc|Numb=Plur
ostendere,ostendo,VER,Mood=Inf|Tense=Pres|Voice=Act
matri,mater,NOMcom,Case=Dat|Numb=Sing
natus,natus2,ADJqua,Case=Nom|Numb=Sing|Gend=Masc
et,et2,CONcoo,MORPH=empty
attonita,attonitus2,ADJqua,Case=Abl|Numb=Sing|Gend=Fem|Deg=Pos
mente,mens,NOMcom,Case=Abl|Numb=Sing
confundere,confundo2,VER,Mood=Inf|Tense=Pres|Voice=Act
coepit,coepio,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
160,3,ADJcar,MORPH=empty
hunc,hic1,PROdem,Case=Acc|Numb=Sing|Gend=Masc
postquam,postquam,CONsub,MORPH=empty
stantem,sto,VER,Case=Acc|Numb=Sing|Gend=MascFem|Mood=Par|Tense=Pres|Voice=Act
submisso,submitto,VER,Case=Abl|Numb=Sing|Gend=MascNeut|Mood=Par|Tense=Perf|Voice=Pass
lumine,lumen,NOMcom,Case=Abl|Numb=Sing
vidit,uideo,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
talibus,talis,PROdem,Case=Abl|Numb=Plur|Gend=Com
aggreditur,aggredior,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Dep|Person=3
dictis,dictum,NOMcom,Case=Abl|Numb=Plur
monitura,moneo,VER,Case=Nom|Numb=Plur|Gend=Neut|Mood=Par|Tense=Fut|Voice=Act
timentem,timeo,VER,Case=Acc|Numb=Sing|Gend=MascFem|Mood=Par|Tense=Pres|Voice=Act
”,”,PUNC,MORPH=empty
Quartus,quartus,ADJord,Case=Nom|Numb=Sing|Gend=Masc|Deg=Pos
es,sum1,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=2
a,ab,INJ,MORPH=empty
primo,primus,ADJord,Case=Abl|Numb=Sing|Gend=MascNeut|Deg=Sup
partus,partus1,NOMcom,Case=Nom|Numb=Sing|Gend=Masc
mihi,ego,PROper,Case=Dat|Numb=Sing
quartus,quartus,ADJord,Case=Nom|Numb=Sing|Gend=Masc|Deg=Pos
et,et2,CONcoo,MORPH=empty
infans,infans1,NOMcom,Case=Nom|Numb=Sing|Gend=Com|Deg=Pos
quae,quis1,PROint,Case=Acc|Numb=Plur|Gend=Neut
nunc,nunc,ADV,Deg=Pos
verba,uerbum,NOMcom,Case=Acc|Numb=Plur
tibi,tu,PROper,Case=Dat|Numb=Sing
quae,qui1,PROrel,Case=Acc|Numb=Plur|Gend=Neut
possum,possum1,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=1
dicere,dico2,VER,Mood=Inf|Tense=Pres|Voice=Act
nate,natus1,NOMcom,Case=Voc|Numb=Sing
hoc,hic1,PROdem,Case=Acc|Numb=Sing|Gend=Neut
nisi,nisi,CONsub,MORPH=empty
quod,quod2,CONsub,MORPH=empty
solum,solus,ADV,Numb=Sing
durata,duro,VER,Numb=Sing|Gend=Fem|Mood=Par|Tense=Perf|Voice=Pass
potentia,potentia,NOMcom,Case=Nom|Numb=Sing
tecum,tu,PROper,Case=Abl|Numb=Sing
{tecum},cum3,CON,MORPH=empty
165,3,ADJcar,MORPH=empty
sit,sum1,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
simul,simul1,ADV,Deg=Pos
et,et2,CONcoo,MORPH=empty
virtus,uirtus,NOMcom,Case=Nom|Numb=Sing
sanctae,sanctus,ADJqua,Case=Gen|Numb=Sing|Gend=Fem|Deg=Pos
quoque,quoque,ADV,Deg=Pos
originis,origo,NOMcom,Case=Gen|Numb=Sing
auctor,auctor,NOMcom,Case=Nom|Numb=Sing
illi,ille,PROdem,Case=Dat|Numb=Sing|Gend=Com
debemus,debeo,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=1
regi,rex,NOMcom,Case=Dat|Numb=Sing
quodcumque,quicumque1,PROrel,Case=Acc|Numb=Sing|Gend=Neut
negamus,nego,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=1
ille,ille,PROdem,Case=Nom|Numb=Sing|Gend=Masc
dedit,do,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
nobis,nos,PROper,Case=Dat|Numb=Plur
Abraham,Abraham,NOMpro,Case=Ind
cum,cum2,PRE,MORPH=empty
semine,semen1,NOMcom,Case=Abl|Numb=Sing
sancto,sanctus,ADJqua,Case=Abl|Numb=Sing|Gend=MascNeut|Deg=Pos
per,per,PRE,MORPH=empty
quem,qui1,PROrel,Case=Acc|Numb=Sing|Gend=Masc
nobilitas,nobilitas,NOMcom,Case=Nom|Numb=Sing
per,per,PRE,MORPH=empty
quem,qui1,PROrel,Case=Acc|Numb=Sing|Gend=Masc
genus,genus1,NOMcom,Case=Nom|Numb=Sing
omne,omnis,PROind,Case=Nom|Numb=Sing|Gend=Neut
probatur,probo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
quod,qui1,PROrel,Case=Nom|Numb=Sing|Gend=Neut
manet,maneo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
in,in,PRE,MORPH=empty
domino,dominus,NOMcom,Case=Abl|Numb=Sing
sanctum,sanctus,ADJqua,Case=Nom|Numb=Sing|Gend=Neut|Deg=Pos
quia,quia,CONsub,MORPH=empty
nascitur,nascor,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Dep|Person=3
Isac,Isac,PROdem,Case=Nom
170,3,ADJcar,MORPH=empty
tunc,tunc,ADV,Deg=Pos
cum,cum3,CONsub,MORPH=empty
iam,iam,ADV,Deg=Pos
nullum,nullus,PROind,Case=Acc|Numb=Sing|Gend=MascNeut
natum,nascor,VER,Case=Acc|Numb=Sing|Gend=MascNeut|Mood=Par|Tense=Perf|Voice=Dep
sperare,spero,VER,Mood=Inf|Tense=Pres|Voice=Act
senectus,senectus1,NOMcom,Case=Nom|Numb=Sing
sponte,spons,NOMcom,Case=Abl|Numb=Sing
sua,suus,PROpos.ref,Case=Abl|Numb=Sing|Gend=Fem
poterat,possum1,VER,Numb=Sing|Mood=Ind|Tense=Impa|Voice=Act|Person=3
sterilis,sterilis,ADJqua,Case=Nom|Numb=Sing|Gend=MascFem|Deg=Pos
quia,quia,CONsub,MORPH=empty
Sarra,Sarra,NOMpro,Case=Nom|Numb=Sing
manebat,maneo,VER,Numb=Sing|Mood=Ind|Tense=Impa|Voice=Act|Person=3
illa,ille,PROdem,Case=Nom|Numb=Sing|Gend=Fem
tamen,tamen,ADV,Deg=Pos
peperit,pario2,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
generisque,genus,NOMcom,Case=Gen|Numb=Sing
{generisque},que,CON,MORPH=empty
propagine,propago1,NOMcom,Case=Abl|Numb=Sing
coepta,coepio,VER,Case=Nom|Numb=Sing|Gend=Neut|Mood=Par|Tense=Perf|Voice=Pass
ex,ex,PRE,MORPH=empty
insperato,insperatus,ADJqua,Case=Abl|Numb=Sing|Gend=MascNeut|Deg=Pos
remanent,remaneo,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
tibi,tu,PROper,Case=Dat|Numb=Sing
Sarra,Sarra,NOMpro,Case=Nom|Numb=Sing
nepotes,nepos1,NOMcom,Case=Nom|Numb=Plur
Esau,Esau,NOMpro,Case=Nom
et,et2,CONcoo,MORPH=empty
patria,patria,NOMcom,Case=Abl|Numb=Sing|Gend=Fem|Deg=Pos
deductus,deduco,VER,Case=Nom|Numb=Sing|Gend=Masc|Mood=Par|Tense=Perf|Voice=Pass
origine,origo,NOMcom,Case=Abl|Numb=Sing
