form,lemma,POS,morph
ratione,ratio,NOMcom,Case=Abl|Numb=Sing
meum,meus,PROpos,Case=Acc|Numb=Sing|Gend=MascNeut
sanabo,sano,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=1
dolorem,dolor,NOMcom,Case=Acc|Numb=Sing
”,”,PUNC,MORPH=empty
sustulit,tollo,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
illa,ille,PROdem,Case=Nom|Numb=Sing|Gend=Fem
manus,manus1,NOMcom,Case=Acc|Numb=Sing
caelumque,caelum,NOMcom,Case=Acc|Numb=Sing
{caelumque},que,CON,MORPH=empty
aspexit,aspicio,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
in,in,PRE,MORPH=empty
altum,altum,NOMcom,Case=Acc|Numb=Sing
emisit,emitto,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
gemitus,gemitus,NOMcom,Case=Acc|Numb=Plur
et,et2,CONcoo,MORPH=empty
talia,talis,PROdem,Case=Acc|Numb=Plur|Gend=Neut
verba,uerbum,NOMcom,Case=Acc|Numb=Plur
locuta,loquor,VER,Case=Nom|Numb=Sing|Gend=Fem|Mood=Par|Tense=Perf|Voice=Dep
est,sum1,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
”,”,PUNC,MORPH=empty
Tu,tu,PROper,Case=Nom|Numb=Sing
licet,licet3,CONsub,Numb=Sing|Person=3
et,et2,CONcoo,MORPH=empty
gazas,gaza,NOMcom,Case=Acc|Numb=Plur
tradas,trado,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=2
et,et2,CONcoo,MORPH=empty
regna,regnum,NOMcom,Case=Acc|Numb=Plur
tyranne,tyrannus,NOMcom,Case=Acc|Numb=Sing
25,3,ADJcar,MORPH=empty
non,non,ADVneg,MORPH=empty
capimur,capio2,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Pass|Person=1
regum,rex,NOMcom,Case=Gen|Numb=Plur
donis,donum,NOMcom,Case=Dat|Numb=Plur
nec,nec2,CONcoo,MORPH=empty
munera,munus,NOMcom,Case=Acc|Numb=Plur
sanctis,sanctus,ADJqua,Case=Dat|Numb=Plur|Gend=Com|Deg=Pos
eripient,eripio,VER,Numb=Plur|Mood=Ind|Tense=Fut|Voice=Act|Person=3
promissa,promissum,NOMcom,Case=Acc|Numb=Plur
dei,deus,NOMcom,Case=Gen|Numb=Sing
spes,spes,NOMcom,Case=Nom|Numb=Sing
certior,certus,ADJqua,Case=Nom|Numb=Sing|Gend=MascFem|Deg=Comp
illa,ille,PROdem,Case=Nom|Numb=Sing|Gend=Fem
est,sum1,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
